"Jobcentre Plus (GB); Jobcentre/Jobs and Benefits Office (NI)",0.14,0.25,0.2,0.21
Government programmes and schemes,0.02,0.04,0.05,0.07
NAS Apprenticeship Vacancy system,0.02,0,0,0
National newspapers,0.01,0.01,0.01,0
Local newspapers,0.08,0.28,0.12,0.07
Trade press / professional publications,0.01,0.01,0.01,0
Recruitment agencies,0.09,0.03,0.04,0.06
Paid for Recruitment websites,0.03,0.04,0.03,0.01
School / college / university job fairs or career services,0.06,0.03,0.05,0.04
Connexions,0,0,0,0
Word of mouth / personal recommendation,0.26,0.16,0.22,0.3
Internal notices / filled it internally,0.07,0.04,0.09,0.07
Own website,0.11,0.1,0.11,0.1
Social media,0.01,0.02,0.01,0
Other free websites,0.04,0.03,0.06,0.02
Notice boards / shop windows,0.07,0.11,0.06,0.09
Speculative enquiries,0.07,0.03,0.07,0.07
Other,0.04,0.03,0.06,0.03
Don't know,0.02,0.01,0.02,0.01
NET: Public Free,0.18,0.29,0.24,0.29
NET: Private Paid,0.21,0.33,0.19,0.14
NET: Private Free,0.64,0.49,0.61,0.64
