Can be moulded into own way of doing things,0.32,0.23,0.27,0.34
Their enthusiasm,0.31,0.26,0.28,0.32
They are willing to learn,0.2,0.23,0.2,0.21
Easier to train,0.17,0.22,0.15,0.16
They bring new/fresh ideas,0.12,0.1,0.11,0.13
They are relatively inexpensive,0.12,0.09,0.09,0.09
More flexible with working hours,0.07,0.14,0.09,0.08
Social responsibility / give young people a chance,0.06,0.08,0.06,0.07
Secures future of the business,0.04,0.03,0.06,0.06
"Good personal qualities (e.g. interpersonal skills, hard working, reliable)",0.04,0.08,0.03,0.03
Better with IT/technology,0.03,0.02,0.02,0.04
Younger people are healthier / fitter,0.02,0.05,0.05,0.02
They are available,0.01,0.01,0.01,0
Creates a more diverse workforce,0.01,0,0.01,0.02
Other,0.05,0.05,0.05,0.05
There are no benefits,0.13,0.12,0.12,0.11
Don't know,0.04,0.05,0.06,0.03
